"name","province","sub_region_1","sub_region_2","date","value","value_daily"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-06-24","0",NA
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-06-24","0",NA
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-06-24","0",NA
"active_residents","NT","Northwest Territories","Dehcho","2021-06-24","0",NA
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-06-24","0",NA
"active_residents","NT","Northwest Territories","Fort Smith","2021-06-24","0",NA
"active_nonresidents","NT","Northwest Territories","Hay River","2021-06-24","0",NA
"active_residents","NT","Northwest Territories","Hay River","2021-06-24","0",NA
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-06-24","0",NA
"active_residents","NT","Northwest Territories","Sahtu","2021-06-24","0",NA
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-06-24","0",NA
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-06-24","0",NA
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-06-24","0",NA
"active_residents","NT","Northwest Territories","Yellowknife","2021-06-24","0",NA
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-06-25","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-06-25","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-06-25","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-06-25","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-06-25","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-06-25","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-06-25","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-06-25","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-06-25","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-06-25","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-06-25","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-06-25","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-06-25","0","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-06-25","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-06-26","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-06-26","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-06-26","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-06-26","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-06-26","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-06-26","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-06-26","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-06-26","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-06-26","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-06-26","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-06-26","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-06-26","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-06-26","0","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-06-26","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-06-27","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-06-27","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-06-27","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-06-27","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-06-27","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-06-27","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-06-27","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-06-27","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-06-27","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-06-27","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-06-27","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-06-27","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-06-27","0","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-06-27","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-06-28","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-06-28","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-06-28","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-06-28","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-06-28","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-06-28","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-06-28","1","1"
"active_residents","NT","Northwest Territories","Hay River","2021-06-28","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-06-28","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-06-28","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-06-28","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-06-28","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-06-28","0","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-06-28","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-06-29","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-06-29","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-06-29","0","0"
