"province","date_vaccine_distributed","dvaccine","cumulative_dvaccine"
"Alberta","13-12-2020",0,0
"Alberta","14-12-2020",3900,3900
"Alberta","15-12-2020",0,3900
"Alberta","16-12-2020",0,3900
"Alberta","17-12-2020",0,3900
"Alberta","18-12-2020",0,3900
"Alberta","19-12-2020",0,3900
"Alberta","20-12-2020",0,3900
"Alberta","21-12-2020",0,3900
"Alberta","22-12-2020",25350,29250
"Alberta","23-12-2020",0,29250
"Alberta","24-12-2020",0,29250
"Alberta","25-12-2020",0,29250
"Alberta","26-12-2020",0,29250
"Alberta","27-12-2020",0,29250
"Alberta","28-12-2020",0,29250
"Alberta","29-12-2020",0,29250
"Alberta","30-12-2020",16900,46150
"Alberta","31-12-2020",0,46150
"Alberta","01-01-2021",0,46150
"Alberta","02-01-2021",0,46150
"Alberta","03-01-2021",0,46150
"Alberta","04-01-2021",0,46150
"Alberta","05-01-2021",0,46150
"Alberta","06-01-2021",0,46150
"Alberta","07-01-2021",13650,59800
"Alberta","08-01-2021",0,59800
"Alberta","09-01-2021",0,59800
"Alberta","10-01-2021",0,59800
"Alberta","11-01-2021",0,59800
"Alberta","12-01-2021",0,59800
"Alberta","13-01-2021",0,59800
"Alberta","14-01-2021",0,59800
"BC","13-12-2020",0,0
"BC","14-12-2020",3900,3900
"BC","15-12-2020",0,3900
"BC","16-12-2020",0,3900
"BC","17-12-2020",0,3900
"BC","18-12-2020",0,3900
"BC","19-12-2020",0,3900
"BC","20-12-2020",0,3900
"BC","21-12-2020",22425,26325
"BC","22-12-2020",0,26325
"BC","23-12-2020",0,26325
"BC","24-12-2020",0,26325
"BC","25-12-2020",0,26325
"BC","26-12-2020",0,26325
"BC","27-12-2020",0,26325
"BC","28-12-2020",7800,34125
"BC","29-12-2020",0,34125
"BC","30-12-2020",0,34125
"BC","31-12-2020",20500,54625
"BC","01-01-2021",0,54625
"BC","02-01-2021",0,54625
"BC","03-01-2021",0,54625
"BC","04-01-2021",0,54625
"BC","05-01-2021",0,54625
"BC","06-01-2021",0,54625
"BC","07-01-2021",16575,71200
"BC","08-01-2021",0,71200
"BC","09-01-2021",0,71200
"BC","10-01-2021",0,71200
"BC","11-01-2021",0,71200
"BC","12-01-2021",0,71200
"BC","13-01-2021",0,71200
"BC","14-01-2021",0,71200
"Manitoba","13-12-2020",0,0
"Manitoba","14-12-2020",900,900
"Manitoba","15-12-2020",0,900
"Manitoba","16-12-2020",0,900
"Manitoba","17-12-2020",0,900
"Manitoba","18-12-2020",0,900
"Manitoba","19-12-2020",0,900
"Manitoba","20-12-2020",0,900
"Manitoba","21-12-2020",0,900
"Manitoba","22-12-2020",3900,4800
"Manitoba","23-12-2020",0,4800
"Manitoba","24-12-2020",0,4800
"Manitoba","25-12-2020",0,4800
"Manitoba","26-12-2020",0,4800
"Manitoba","27-12-2020",0,4800
"Manitoba","28-12-2020",0,4800
"Manitoba","29-12-2020",0,4800
"Manitoba","30-12-2020",0,4800
"Manitoba","31-12-2020",15175,19975
"Manitoba","01-01-2021",0,19975
"Manitoba","02-01-2021",0,19975
"Manitoba","03-01-2021",0,19975
"Manitoba","04-01-2021",0,19975
"Manitoba","05-01-2021",0,19975
"Manitoba","06-01-2021",5850,25825
"Manitoba","07-01-2021",0,25825
"Manitoba","08-01-2021",0,25825
"Manitoba","09-01-2021",0,25825
"Manitoba","10-01-2021",0,25825
"Manitoba","11-01-2021",0,25825
"Manitoba","12-01-2021",0,25825
"Manitoba","13-01-2021",0,25825
"Manitoba","14-01-2021",0,25825
"New Brunswick","13-12-2020",0,0
"New Brunswick","14-12-2020",1950,1950
"New Brunswick","15-12-2020",0,1950
"New Brunswick","16-12-2020",0,1950
"New Brunswick","17-12-2020",0,1950
"New Brunswick","18-12-2020",0,1950
"New Brunswick","19-12-2020",0,1950
"New Brunswick","20-12-2020",0,1950
"New Brunswick","21-12-2020",0,1950
"New Brunswick","22-12-2020",3900,5850
"New Brunswick","23-12-2020",0,5850
"New Brunswick","24-12-2020",0,5850
"New Brunswick","25-12-2020",0,5850
"New Brunswick","26-12-2020",0,5850
